path,family,bytes,meshes,materials,images,skins,animations,action,status
jarvis/ui/web/frontend/src/assets/society/figures/biped-android.glb,character-base,45272,1,1,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-athlete.glb,character-base,50440,1,2,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-barbarian.glb,character-base,405532,1,2,1,1,celebrate|idle|run|sit|sleep|talk|walk|wave|work,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-blockhead.glb,character-base,45324,1,1,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-casual.glb,character-base,54404,1,2,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-chibi.glb,character-base,49104,1,2,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-clips.glb,animation-library,202900,0,0,0,1,celebrate|idle|run|sit|sleep|talk|walk|wave|work,Retarget and verify,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-dwarf.glb,character-base,50436,1,2,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-elf.glb,character-base,54388,1,2,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-knight.glb,character-base,426088,1,2,1,1,celebrate|idle|run|sit|sleep|talk|walk|wave|work,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-mage.glb,character-base,406908,1,2,1,1,celebrate|idle|run|sit|sleep|talk|walk|wave|work,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-medic.glb,character-base,54412,1,2,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-monk.glb,character-base,46616,1,1,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-office.glb,character-base,51760,1,2,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-pilot.glb,character-base,41340,1,1,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-rogue.glb,character-base,415880,1,2,1,1,celebrate|idle|run|sit|sleep|talk|walk|wave|work,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-scientist.glb,character-base,57084,1,2,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-toon.glb,character-base,49104,1,2,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-trooper.glb,character-base,41312,1,1,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/biped-worker.glb,character-base,54400,1,2,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/back-backpack.glb,accessory,14372,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/back-cloak.glb,accessory,11760,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/back-fur-cape.glb,accessory,12312,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/back-jetpack.glb,accessory,15704,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/back-knight-cape.glb,accessory,12504,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/back-mage-cape.glb,accessory,12492,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/back-quiver.glb,accessory,13060,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/back-rogue-cape.glb,accessory,12504,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/back-satchel.glb,accessory,13076,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/belt-sash-broad.glb,accessory,11752,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/belt-sash.glb,accessory,11744,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/belt-toolbelt-broad.glb,accessory,13100,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/belt-toolbelt.glb,accessory,13092,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/face_extra-glasses.glb,accessory,23664,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/face_extra-respirator.glb,accessory,13108,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/face_extra-shades.glb,accessory,11784,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_l-clipboard.glb,accessory,13104,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_l-lantern.glb,accessory,13088,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_l-round-shield.glb,accessory,27604,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_l-spellbook.glb,accessory,32568,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_l-tablet.glb,accessory,11760,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_l-wooden-shield.glb,accessory,27208,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_r-axe.glb,accessory,28448,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_r-broom.glb,accessory,11760,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_r-knife.glb,accessory,20872,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_r-mug.glb,accessory,33124,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_r-scanner.glb,accessory,13080,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_r-staff.glb,accessory,37612,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_r-sword.glb,accessory,29964,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_r-torch.glb,accessory,11740,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/hand_r-wrench.glb,accessory,11760,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/headgear-beanie.glb,accessory,13092,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/headgear-cap.glb,accessory,14400,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/headgear-crown.glb,accessory,15720,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/headgear-hardhat.glb,accessory,13076,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/headgear-headset.glb,accessory,14400,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/headgear-horned-hat.glb,accessory,40532,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/headgear-knight-helmet.glb,accessory,38508,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/headgear-mage-hat.glb,accessory,32780,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/headgear-space-helmet.glb,accessory,13104,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/headgear-top-hat.glb,accessory,13088,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/torso_over-apron-broad.glb,accessory,13116,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/torso_over-apron.glb,accessory,13108,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/torso_over-plate-broad.glb,accessory,15752,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/torso_over-plate.glb,accessory,15744,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/torso_over-vest-broad.glb,accessory,13112,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/biped/torso_over-vest.glb,accessory,13104,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/quadruped/back-blanket.glb,accessory,10636,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/quadruped/back-saddlebag.glb,accessory,11972,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/quadruped/collar-band.glb,accessory,10632,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/quadruped/collar-bandana.glb,accessory,10644,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/quadruped/collar-scarf.glb,accessory,10632,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/quadruped/headgear-antlers.glb,accessory,13296,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/quadruped/headgear-pet-cap.glb,accessory,10652,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/parts/quadruped/tail_extra-bow.glb,accessory,11972,1,1,1,1,,Refit and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/quadruped-bear.glb,character-base,52028,1,1,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/quadruped-cat.glb,character-base,52028,1,1,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/quadruped-clips.glb,animation-library,111292,0,0,0,1,celebrate|idle|run|sit|sleep|talk|walk,Retarget and verify,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/quadruped-dog.glb,character-base,52028,1,1,1,1,,Remodel and retexture,inventoried; not modified
jarvis/ui/web/frontend/src/assets/society/figures/quadruped-fox.glb,character-base,52028,1,1,1,1,,Remodel and retexture,inventoried; not modified
